num_vacantes,especialidad,jornada,colegio,file,fecha
1,ED. PRIMARIA - ESP. EDUCACIÓN FÍSICA - B2,PARCIAL,NUESTRA SEÑORA DEL PILAR-GUANARTEME,12052022_vacantes_cc_1.pdf,12 de mayo de 2022
1,GRADO EN LENGUAS MODERNAS (INGLÉS Y FRANCÉS)-MÁSTER P,PARCIAL,NUESTRA SEÑORA DEL PILAR-GUANARTEME,12052022_vacantes_cc_1.pdf,12 de mayo de 2022
1,INFANTIL,COMPLETA,CPEIPS SANTA TERESA DE JESÚS,120522_vacantes_cc_2.pdf,12 de mayo de 2022
1,LICENCIADO/A FRANCÉSB2,PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,LICENCIADO/A GEOGRAFÍA E HISTORIA,PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,PRIMARIA INGLÉS B2,PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,PRIMARIA,PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,INFANTIL INGLÉS B2,PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,"LICENCIADO/A BIOLOGÍA, MATEMÁTICAS",PARCIAL,ISABEL LA CATÓLICA,120722_vacantes_cc_1.pdf,12 de julio de 2022
1,PEDAGOGÍA TERAPÉUTICA,COMPLETA,COLEGIO SAUCILLO,121121_vacantes_cc.pdf,12 de noviembre de 2021
1,HISTROIA-ECONOMÍA-INGLÉS SECUNDARIA,,"NAZARET-LOS REALEJOS",130122_vacantes_cc_1.pdf,13 de enero de 2022
1,"GRADO EDUCACIÓN INFANTIL, ESPECIALIDAD INGLÉS, DECA",PARCIAL,COLEGIO SALESIANAS SAN JUAN BOSCO,13062022_vacantes_cc_1.pdf,13 de junio de 2022
